,Zone,Date,ConfirmedCases,CasesEstimation,ImportedRisk,ConfirmedCasesWeekLater,Population
929,Iceland,2020-03-06,43,0.026143774286314786,0.0265684925698986,134,341250
930,Iceland,2020-03-07,50,0.052926070881107276,0.0536861927061879,156,341250
931,Iceland,2020-03-08,50,0.061280345767663655,0.062272813791075896,171,341250
932,Iceland,2020-03-09,58,0.06888461335966742,0.0700965926523406,180,341250
933,Iceland,2020-03-10,69,0.10168115650959722,0.1035061289538674,220,341250
934,Iceland,2020-03-11,85,0.13274971586731985,0.13500622226617828,250,341250
935,Iceland,2020-03-12,103,0.19507079255703524,0.1982875949159929,330,341250
936,Iceland,2020-03-13,134,0.28047892955255443,0.28529282482898366,409,341250
937,Iceland,2020-03-14,156,0.28876498217572694,0.2940785146587813,473,341250
938,Iceland,2020-03-15,171,0.3430825030226523,0.349101522815239,568,341250
939,Iceland,2020-03-16,180,0.4282099182879688,0.4365257232338212,588,341250
940,Iceland,2020-03-17,220,0.4612112874834926,0.4711693845105978,648,341250
941,Iceland,2020-03-18,250,0.600378364976019,0.6137579824351561,737,341250
942,Iceland,2020-03-19,330,0.6411019015679086,0.6437088719750558,802,341250
943,Iceland,2020-03-20,409,0.40035486989200275,0.40680747147011,890,341250
944,Iceland,2020-03-21,473,0.5353788959746929,0.5333055018263351,963,341250
945,Iceland,2020-03-22,568,0.2606414222401499,0.2649635848727136,1020,341250
946,Iceland,2020-03-23,588,0.36743551873407715,0.37333000406679007,1086,341250
947,Iceland,2020-03-24,648,0.2536719958859526,0.2576295489566275,1135,341250
948,Iceland,2020-03-25,737,0.2777511381452664,0.28211368267492987,1220,341250
949,Iceland,2020-03-26,802,0.3050181843852291,0.3096999491452811,1319,341250
950,Iceland,2020-03-27,890,0.6749619255041309,0.6885666647478648,1364,341250
951,Iceland,2020-03-28,963,0.11232962554796126,0.1144396325225504,1417,341250
952,Iceland,2020-03-29,1020,0.21828611092110256,0.22222408206749428,1486,341250
953,Iceland,2020-03-30,1086,0.27972643316113743,0.2844808522619711,1562,341250
954,Iceland,2020-03-31,1135,0.3926264614767908,0.3988829233982331,1586,341250
955,Ireland,2020-02-01,0,0.0008231688099022332,0.0008296749630645999,0,4937796
956,Ireland,2020-02-02,0,0.0011928174711569122,0.0012030977228509,0,4937796
957,Ireland,2020-02-03,0,0.0026952954170753763,0.0026939363522307,0,4937796
958,Ireland,2020-02-04,0,0.0023373451539231214,0.0023508925002077,0,4937796
959,Ireland,2020-02-05,0,0.002238813600245292,0.0022491900625664,0,4937796
960,Ireland,2020-02-06,0,0.003001709949525835,0.0030176384298892,0,4937796
961,Ireland,2020-02-07,0,0.0036523399493628775,0.0036742140702405,0,4937796
962,Ireland,2020-02-08,0,0.0031234941344119825,0.0031323603139803,0,4937796
963,Ireland,2020-02-09,0,0.0033179970683189096,0.0033404130508192,0,4937796
964,Ireland,2020-02-10,0,0.004669121680514742,0.004697769601639,0,4937796
965,Ireland,2020-02-11,0,0.003916102983161654,0.0039368979779511,0,4937796
966,Ireland,2020-02-12,0,0.004081716175071941,0.004102999128229199,0,4937796
967,Ireland,2020-02-13,0,0.00551105439867639,0.0055399225323034,0,4937796
